Nama Perguruan Tinggi,Lokasi,Tahun Berdiri
Universitas Al Muslim Peusangan,BIREUEN,2003
Universitas Bina Bangsa Getsempena,Banda Aceh,2021
Universitas Muhammadiyah Sumatera Utara,Medan,1957
Universitas Medan Area,Medan,1983
Universitas Potensi Utama,Medan,2003
Universitas Tjut Nyak Dhien,Medan,1956
Universitas HKBP Nommensen,Medan,1954
Universitas Methodist Indonesia,Medan,1965
Universitas Islam Sumatera Utara,Medan,1953
Universitas Katolik Santo Thomas,Medan,1984
Universitas Ibnu Sina,Batam,2019
Universitas Muhammadiyah Bengkulu,Bengkulu,1970
Universitas Baturaja,Baturaja,1998
Universitas Muhammadiyah Palembang,Palembang,1984
Universitas Bina Darma,Palembang,1993
Institut Informatika dan Bisnis Darmajaya,"Bandar Lampung, Indonesia",1997
Universitas Muhammadiyah Metro,"Metro, Indonesia",1991
Sekolah Tinggi Ilmu Kesehatan Mitra RIA Husada,Jakarta Timur,2004
Inti College Indonesia,Jakarta Barat,2001
STIE Kusuma Negara,Jakarta,2013
Sekolah Tinggi Ilmu Komputer Inti,Jakarta Barat,2001
Universitas Budi Luhur,Jakarta,1979
Universitas Paramadina,Jakarta Selatan,2010
Universitas Bhayangkara Jakarta Raya,Jakarta Selatan,1995
Universitas Al Azhar Indonesia,Jakarta Selatan,2000
Universitas Persada Indonesia Y.A.I,Jakarta,1985
Universitas Katolik Indonesia Atma Jaya,Jakarta,1960
Universitas Binus,Jakarta,1985
Universitas Pertamina,Jakarta,2016
Universitas Bunda Mulia,Jakarta,1986
Universitas Gunadarma,JakartaDepok,1981
Universitas Kristen Indonesia,Jakarta,1953
Universitas Kristen Krida Wacana,Jakarta,1967
Universitas Presiden,Bekasi(Jababeka),2001
Universitas Muhammadiyah Jakarta,Jakarta,1955
Universitas Muhammadiyah Prof. Dr. HAMKA,Jakarta,1960
Sekolah Tinggi Teknologi Indonesia,Jakarta Pusat,1974
Universitas Pancasila,Jakarta,1966
Universitas Mercu Buana Jakarta,Jakarta,1985
Universitas MH Thamrin Jakarta,Jakarta,1982
Universitas Nasional,Jakarta,1949
Universitas Tarumanagara,Jakarta,1962
Universitas Trisakti,Jakarta,1965
Universitas Bakrie,Jakarta,2006
Universitas Pembangunan Jaya,Jakarta,2011
Universitas Tanri Abeng,Jakarta,2012
Institut Bisnis Nusantara,Jakarta,1986
Institut Kalbis,Jakarta,2012
Institut Kesenian Jakarta,Jakarta,1970
Universitas YARSI,Jakarta,1967
STIMIK ESQ Business School,Jakarta,2012
Institut Sains dan Teknologi Nasional,Jakarta,1950
Univesitas Teknologi Muhammadiyah Jakarta,Jakarta,2022
Universitas Prasetiya Mulya (Kampus S2),Jakarta,1982
Universitas Sampoerna,Jakarta Selatan,2013
Institut Teknologi Budi Utomo,Jakarta Timur,1980
Institut Teknologi Tangerang Selatan,"BSD City, Serpong Utara, Kota Tangerang Selatan,Kota Tangerang Selatan",2019
Universitas Multimedia Nusantara,"Kelapa Dua,Kabupaten Tangerang",2006
Universitas Muhammadiyah Tangerang,"Cikokol,Kota Tangerang",1993
Universitas Pamulang,"Pamulang,Tangerang Selatan",2000
Universitas Pelita Harapan,"Lippo Village,Tangerang",1993
